user_id,trade_id,open_time,close_time,pair,direction,lot_size,entry_price,exit_price,stop_loss,take_profit,pnl,time_since_last_trade,hour_of_day,day_of_week,trade_duration_seconds,session,lot_size_vs_baseline,lot_size_change_from_last,position_size_percentile,account_balance,risk_percent_of_balance,consecutive_losses,trades_in_last_30_min,trades_in_session,same_symbol_consecutive,pnl_last_trade,cumulative_pnl_session,pnl_volatility,peak_balance,drawdown_from_peak,sl_present,risk_reward_ratio,emotional_momentum_score,revenge_trading_probability,tilt_detection_score,pattern_deviation_from_baseline,emotional_state_estimation,risk_escalation_velocity
TRADER004,1,2026-01-15 09:00:00,2026-01-15 11:30:00,EUR/USD,BUY,0.08,1.0845,1.0895,1.0795,1.0945,40.0,0.37735849056603776,-0.4,-0.5,3.5,0.0,-0.5000000000000004,-0.1666666666666666,-0.49999999999999994,10040.0,-0.014818966889785085,0.0,-0.5,-1.0,0.0,-0.4383561643835616,-0.670926517571885,-0.6843757105605229,10040.0,-0.1641025641025641,0.0,0.0,-0.5605839416058396,-0.33333333333333337,-0.5257142857142858,0.0,-0.6388888888888887,0.0
TRADER002,1,2026-01-15 09:00:00,2026-01-15 10:30:00,EUR/USD,BUY,0.05,1.0845,1.0895,1.0795,1.0945,25.0,-1.8867924528301887,-0.4,-0.5,1.5,0.0,-1.2500000000000007,-0.4166666666666666,-1.0405405405405403,10065.0,-0.01867928806404306,0.0,-0.5,-0.9797979797979798,1.0,0.0,-0.6389776357827476,-0.6843757105605229,10065.0,-0.1641025641025641,0.0,0.0,-0.6306569343065694,-0.33333333333333337,-0.5942857142857143,0.4285714285714286,-0.6944444444444442,0.0
TRADER003,1,2026-01-15 09:15:00,2026-01-15 09:32:00,EUR/USD,BUY,0.2,1.0848,1.0898,1.0798,1.0948,100.0,-0.7547169811320755,-0.4,-0.5,-0.9333333333333333,0.0,2.5000000000000013,1.0833333333333337,0.9459459459459457,10165.0,0.00024349122324329327,0.0,0.5,-0.9595959595959596,2.0,-0.1643835616438356,-0.5111821086261981,-0.6843757105605229,10165.0,-0.1641025641025641,0.0,8.859597455668223e-14,0.5255474452554747,0.33333333333333337,0.27428571428571447,-0.9285714285714282,0.22222222222222232,0.0
TRADER001,1,2026-01-15 09:30:00,2026-01-15 10:15:00,EUR/USD,BUY,0.1,1.085,1.09,1.08,1.095,50.0,0.3471698113207547,-0.4,-0.5,0.0,0.0,0.0,-1.0,0.0,10215.0,-0.012475566368641538,0.0,1.0,-0.9393939393939394,3.0,0.6575342465753424,-0.4472843450479233,-0.6843757105605229,10215.0,-0.1641025641025641,0.0,8.859597455668223e-14,0.6948905109489053,0.6666666666666666,0.3085714285714287,-0.2857142857142858,0.3564814814814815,0.0
TRADER005,1,2026-01-15 09:30:00,2026-01-15 10:15:00,EUR/USD,BUY,0.12,1.085,1.09,1.08,1.095,60.0,-0.3018867924528302,-0.4,-0.5,0.0,0.0,0.4999999999999995,0.0,0.5000000000000001,10275.0,-0.010044794247401794,0.0,1.0,-0.9191919191919192,4.0,0.1095890410958904,-0.3706070287539936,-0.3084549514095323,10275.0,-0.1641025641025641,0.0,8.859597455668223e-14,0.7416058394160583,0.6666666666666666,0.3542857142857145,-0.5714285714285714,0.39351851851851855,0.0
TRADER003,2,2026-01-15 09:45:00,2026-01-15 09:58:00,GBP/USD,SELL,0.2,1.2648,1.2698,1.2698,1.2598,-100.0,-0.07547169811320754,-0.4,-0.5,-1.0666666666666667,0.0,2.5000000000000013,0.5000000000000002,0.9459459459459457,10175.0,0.0002186123946037107,1.0,1.0,-0.898989898989899,0.0,0.2191780821917808,-0.4984025559105431,0.32520076438886847,10275.0,0.24615384615384617,0.0,-0.9998020395920816,1.4656934306569342,1.0000000000000002,1.1942857142857144,-0.9285714285714282,1.1805555555555556,1.6551724137931036
TRADER003,3,2026-01-15 10:05:00,2026-01-15 10:18:00,EUR/USD,BUY,0.4,1.0852,1.0822,1.0802,1.0902,-120.0,0.4830188679245283,-0.2,-0.5,-1.0666666666666667,0.0,7.500000000000004,1.5000000000000002,1.1756756756756757,10055.0,0.026111565682042016,2.0,0.0,-0.8787878787878788,0.0,-1.5342465753424657,-0.6517571884984026,0.6526555819238048,10275.0,0.7384615384615385,0.0,-0.9998020395919929,1.6642335766423364,0.6666666666666666,1.782857142857143,1.9285714285714297,1.5509259259259258,4.8275862068965525
TRADER003,4,2026-01-15 10:22:00,2026-01-15 10:35:00,USD/JPY,SELL,0.8,149.18,148.58,149.68,148.18,-480.0,0.4377358490566038,-0.2,-0.5,-1.0666666666666667,0.0,17.50000000000001,3.166666666666667,1.2837837837837835,9575.0,10.724544981724728,3.0,0.0,-0.8585858585858586,0.0,-1.7534246575342465,-1.2651757188498403,2.2220290850208286,10275.0,2.707692307692308,0.0,0.00039592081588114456,3.1357664233576656,1.0000000000000002,3.3542857142857145,7.642857142857144,2.930555555555555,8.27586206896552
TRADER003,5,2026-01-15 10:40:00,2026-01-15 11:05:00,GBP/JPY,BUY,1.5,185.52,186.02,185.02,186.52,750.0,0.4528301886792453,-0.2,-0.5,-0.6666666666666666,0.0,35.000000000000014,5.666666666666666,1.351351351351351,10325.0,18.666376676901216,0.0,0.0,-0.8383838383838383,0.0,-5.698630136986301,-0.30670926517571884,5.327712661982504,10325.0,-0.1641025641025641,0.0,0.00039592081588114456,3.159124087591242,0.0,2.982857142857144,17.642857142857146,2.310185185185186,19.310344827586206
TRADER001,2,2026-01-15 10:45:00,2026-01-15 11:02:00,EUR/USD,SELL,0.15,1.09,1.082,1.095,1.075,-80.0,0.07547169811320754,-0.2,-0.5,-0.9333333333333333,0.0,1.2500000000000002,-11.416666666666668,0.7837837837837838,10245.0,-0.006233313862005791,1.0,0.5,-0.8181818181818182,0.0,7.780821917808219,-0.40894568690095845,5.346194739761328,10325.0,0.1641025641025641,0.0,0.9998020395922147,0.9459854014598542,0.6666666666666666,0.8171428571428575,-1.0,0.7685185185185187,0.41379310344827586
TRADER005,2,2026-01-15 11:00:00,2026-01-15 11:45:00,GBP/USD,SELL,0.12,1.265,1.27,1.27,1.26,-60.0,0.3471698113207547,0.0,-0.5,0.0,0.0,0.4999999999999995,-0.4166666666666666,0.5000000000000001,10185.0,-0.009912017316570905,2.0,0.5,-0.797979797979798,0.0,-1.3150684931506849,-0.48562300319488816,5.323303786785504,10325.0,0.41025641025641024,0.0,-0.9998020395920816,1.4131386861313868,1.0000000000000002,1.405714285714286,-0.5714285714285714,1.3518518518518516,-1.1034482758620692
TRADER001,3,2026-01-15 11:05:00,2026-01-15 11:28:00,GBP/JPY,BUY,0.3,185.5,184.2,186.0,183.0,-130.0,-0.22641509433962265,0.0,-0.5,-0.7333333333333333,0.0,5.000000000000002,1.3333333333333335,1.1081081081081081,10055.0,3.813600478319297,3.0,1.0,-0.7777777777777778,0.0,-1.095890410958904,-0.6517571884984026,5.332558693381889,10325.0,0.9435897435897436,0.0,3.0003959208158806,2.7737226277372273,1.6666666666666667,2.7371428571428575,0.5000000000000003,2.643518518518518,-1.3793103448275867
TRADER002,2,2026-01-15 11:15:00,2026-01-15 12:00:00,GBP/USD,SELL,0.05,1.2645,1.2695,1.2695,1.2595,-25.0,0.1811320754716981,0.0,-0.5,0.0,0.0,-1.2500000000000007,-2.2500000000000004,-1.0405405405405403,10030.0,-0.018656984972320538,4.0,1.0,-0.7575757575757576,0.0,-1.8630136986301369,-0.6837060702875399,4.2378002812735165,10325.0,1.0461538461538462,0.0,-0.9998020395920816,2.7270072992700736,2.0,2.822857142857143,0.4285714285714286,2.8194444444444446,-10.344827586206897
TRADER004,2,2026-01-15 14:15:00,2026-01-15 16:45:00,GBP/USD,SELL,0.08,1.2645,1.2595,1.2695,1.2545,40.0,2.4150943396226414,0.6,-0.5,3.5,0.0,-0.5000000000000004,0.08333333333333341,-0.49999999999999994,10070.0,-0.014849508349657063,0.0,-0.5,-0.7373737373737373,1.0,-0.7123287671232876,-0.6325878594249201,0.1593549641496064,10325.0,0.882051282051282,0.0,0.0,-0.5605839416058396,-0.33333333333333337,-0.5257142857142858,0.0,-0.6388888888888887,-19.586206896551726
TRADER003,6,2026-01-15 14:20:00,2026-01-15 14:42:00,EUR/USD,SELL,0.2,1.0875,1.0925,1.0925,1.0825,-100.0,-1.8113207547169812,0.6,-0.5,-0.7666666666666667,0.0,2.5000000000000013,0.8333333333333335,0.9459459459459457,9970.0,0.0007386036191987134,1.0,0.0,-0.7171717171717171,0.0,0.0,-0.7603833865814696,0.19723661602277423,10325.0,1.2923076923076924,0.0,-0.9998020395920816,0.6598540145985402,0.33333333333333337,0.6685714285714286,-0.9285714285714282,0.5416666666666665,0.6896551724137934
TRADER005,3,2026-01-15 14:20:00,2026-01-15 15:05:00,USD/JPY,BUY,0.12,149.25,149.75,148.75,150.25,60.0,0.045283018867924525,0.6,-0.5,0.0,0.0,0.4999999999999995,-0.8333333333333334,0.5000000000000001,10030.0,1.514224950801001,0.0,0.0,-0.696969696969697,0.0,-1.5342465753424657,-0.6837060702875399,0.42602319961848706,10325.0,1.0461538461538462,0.0,0.00039592081588114456,-0.06423357664233585,0.0,-0.17142857142857149,-0.5714285714285714,-0.24537037037037035,0.0
TRADER001,4,2026-01-15 14:20:00,2026-01-15 15:10:00,EUR/USD,BUY,0.1,1.0855,1.091,1.0805,1.0955,55.0,-0.3018867924528302,0.6,-0.5,0.16666666666666666,0.0,0.0,-0.3333333333333332,0.0,10085.0,-0.012313209445323199,0.0,0.0,-0.6767676767676768,0.0,0.2191780821917808,-0.6134185303514377,0.22364024269784838,10325.0,0.8205128205128205,0.0,8.859597455668223e-14,-0.11094890510948903,0.0,-0.21714285714285708,-0.2857142857142858,-0.2824074074074073,-2.758620689655172
